LoiGiaiID,improvedParam,preservedParam,principleId,priority
392,2,3,30,0
393,2,3,35,0
394,2,3,3,0
395,2,3,5,0
396,2,4,17,0
397,2,4,35,0
398,2,4,31,0
399,2,4,9,0
400,2,4,13,0
401,2,4,5,0
402,2,4,3,0
403,2,5,17,0
404,2,5,3,0
405,2,5,30,0
406,2,5,7,0
407,2,5,35,0
408,2,5,4,0
409,2,5,14,0
410,2,6,17,0
411,2,6,14,0
412,2,6,3,0
413,2,6,35,0
414,2,6,30,0
415,2,6,4,0
416,2,6,40,0
417,2,6,9,0
418,2,6,13,0
419,2,7,14,0
420,2,7,3,0
421,2,7,13,0
422,2,7,40,0
423,2,7,35,0
424,2,7,5,0
425,2,7,30,0
426,2,8,31,0
427,2,8,35,0
428,2,8,7,0
429,2,8,3,0
430,2,8,13,0
431,2,8,30,0
432,2,9,13,0
433,2,9,7,0
434,2,9,3,0
435,2,9,30,0
436,2,9,35,0
437,2,9,31,0
438,2,9,10,0
439,2,9,29,0
440,2,10,35,0
441,2,10,31,0
442,2,10,5,0
443,2,10,18,0
444,2,10,25,0
445,2,10,2,0
446,2,11,28,0
447,2,11,13,0
448,2,11,7,0
449,2,11,26,0
450,2,11,2,0
451,2,11,17,0
452,2,12,3,0
453,2,12,35,0
454,2,12,10,0
455,2,12,12,0
456,2,12,4,0
457,2,12,17,0
458,2,12,14,0
459,2,13,40,0
460,2,13,35,0
461,2,13,31,0
462,2,13,19,0
463,2,13,6,0
464,2,13,27,0
465,2,13,2,0
466,2,14,3,0
467,2,14,35,0
468,2,14,17,0
469,2,14,30,0
470,2,14,36,0
471,2,14,2,0
472,2,15,35,0
473,2,15,9,0
474,2,15,3,0
475,2,15,8,0
476,2,15,40,0
477,2,15,13,0
478,2,16,3,0
479,2,16,17,0
480,2,16,14,0
481,2,16,19,0
482,2,16,30,0
483,2,16,18,0
484,2,17,12,0
485,2,17,13,0
486,2,17,1,0
487,2,17,28,0
488,2,17,3,0
489,2,17,19,0
490,2,17,35,0
491,2,18,13,0
492,2,18,35,0
493,2,18,19,0
494,2,18,3,0
495,2,18,18,0
496,2,18,15,0
497,2,19,35,0
498,2,19,3,0
499,2,19,13,0
500,2,19,8,0
501,2,19,40,0
502,2,19,17,0
503,2,19,12,0
504,2,19,4,0
505,2,19,5,0
506,2,20,35,0
507,2,20,31,0
508,2,20,8,0
509,2,20,40,0
510,2,20,17,0
511,2,20,4,0
512,2,20,29,0
513,2,20,13,0
514,2,20,5,0
515,2,21,15,0
516,2,21,5,0
517,2,21,17,0
518,2,21,30,0
519,2,21,31,0
520,2,21,12,0
521,2,21,4,0
522,2,22,35,0
523,2,22,3,0
524,2,22,36,0
525,2,22,19,0
526,2,22,32,0
527,2,22,25,0
528,2,22,30,0
529,2,23,19,0
530,2,23,35,0
531,2,23,24,0
532,2,23,31,0
533,2,23,32,0
534,2,23,7,0
535,2,24,35,0
536,2,24,31,0
537,2,24,7,0
538,2,24,3,0
539,2,24,13,0
540,2,24,40,0
541,2,25,13,0
542,2,25,14,0
543,2,25,3,0
544,2,25,5,0
545,2,25,12,0
546,2,25,17,0
547,2,26,10,0
548,2,26,35,0
549,2,26,19,0
550,2,26,25,0
551,2,26,28,0
552,2,26,26,0
553,2,26,20,0
